"","name","position","height","weight","birthday","birthplace","college","Player_id","first_year","last_year"
"3628","Ellis Lankster","DB","5-9",191,"1987-06-03","in Whistler, AL","West Virginia (College Stats)","LankEl99",2009,2014
"3629","Spencer Lanning","P","5-11",200,"1988-05-21","in Charlotte, NC","South Carolina","LannSp00",2013,2015
"3630","Danny Lansanah","MLB","6-1",248,"1985-08-28","in Harrisburg, PA","Connecticut (College Stats)","LansDa00",2008,2015
"3631","Austin Larkin","DE","6-3",265,"1995-04-06","in San Ramon, CA","Purdue","LarkAu00",2019,2020
"3632","Spencer Larsen","FB-LB","6-2",235,"1984-03-04","in Mesa, AZ","Arizona (College Stats)","LarsSp99",2008,2013
"3633","Ted Larsen","C","6-3",323,"1987-06-13","in Palm Harbor, FL","North Carolina St. (College Stats)","LarsTe20",2010,2019
"3634","Tyler Larsen","C","6-4",335,"1991-07-08","in Salt Lake City, UT","Utah St. (College Stats)","LarsTy00",2016,2021
"3635","Daniel Lasco","RB","6-1",205,"1992-10-09","in The Woodlands, TX","California (College Stats)","LascDa00",2016,2017
"3636","Paul Lasike","FB","5-11",258,"1990-06-18","in Auckland, New Zealand","BYU","LasiPa00",2016,2016
"3637","Darius Latham","DT","6-5",305,"1994-11-09","in Indianapolis, IN","Indiana (College Stats)","LathDa01",2016,2017
"3638","Cody Latimer","WR","6-2",215,"1992-10-10","in Dayton, OH","Indiana (College Stats)","LatiCo00",2014,2019
"3639","Billy Latsko","RB","5-10",233,"1984-02-16","in Gainesville, FL","Florida (College Stats)","LatsBi00",2010,2010
"3640","DeDe Lattimore","LB","6-1",237,"1991-01-30","in Athens, GA","South Florida","LattDe01",2014,2014
"3641","Jamari Lattimore","MLB","6-2",232,"1988-10-06","in Miami, FL","Middle Tenn. St.","LattJa00",2011,2015
"3642","Marshon Lattimore","CB","6-0",192,"1996-05-20","in Cleveland, OH","Ohio St. (College Stats)","LattMa01",2017,2021
"3643","Kyle Lauletta","QB Throws: Right","6-2",222,"1995-03-17","in Exton, PA","Richmond","LaulKy00",2018,2018
"3644","James Laurinaitis","LB","6-2",255,"1986-12-03","in Hamel, MN","Ohio St. (College Stats)","LaurJa99",2009,2016
"3645","Lance Laury","LB","6-2",242,"1982-01-17","in Hopkins, SC","South Carolina (College Stats)","LaurLa20",2006,2010
"3646","Shawn Lauvao","G","6-3",308,"1987-10-26","in Honolulu, HI","Arizona St. (College Stats)","LauvSh20",2010,2018
"3647","Cordarro Law","DE","6-1",254,"1988-10-15","in Whitfield, AL","Southern Miss","LawxCo00",2014,2015
"3648","Ty Law","DB","5-11",200,"1974-02-10","in Aliquippa, PA","Michigan (College Stats)","LawxTy00",1995,2009
"3649","Justin Lawler","DE","6-4",265,"1994-12-23","in Pottsboro, TX","SMU (College Stats)","LawlJu00",2018,2021
"3650","Cameron Lawrence","LB","6-2",234,"1991-01-20","in Altus, OK","Mississippi St. (College Stats)","LawrCa01",2013,2014
"3651","DeMarcus Lawrence","DE","6-3",265,"1992-04-28","in Aiken, SC","Butler (KS), Boise St. (College Stats)","LawrDe00",2014,2021
"3652","Devaroe Lawrence","6-2, 295lb (188cm, 133kg)","October 13, 1992",NA,"","","","LawrDe02",2018,2020
"3653","Dexter Lawrence","DL","6-4",342,"1997-11-12","in Wake Forest, NC","Clemson (College Stats)","LawrDe03",2019,2021
"3654","Matt Lawrence","RB","6-1",210,"1985-05-05","in Hartford, CT","Massachusetts (College Stats)","LawrMa00",2009,2009
"3655","Quinten Lawrence","WR","6-1",175,"1984-09-21","in Lafayette, LA","McNeese St.","LawrQu00",2009,2009
"3656","Rashard Lawrence","DL","6-2",308,"1998-08-27","in Monroe, LA","LSU (College Stats)","LawrRa01",2020,2021
"3657","Trevor Lawrence","QB","6-6",213,"1999-10-06","in Knoxville, TN","Clemson (College Stats)","LawrTr00",2021,2021
"3658","Trevor Laws","DT","6-1",297,"1985-06-14","in Dayton, OH","Notre Dame (College Stats)","LawsTr99",2008,2011
"3659","Carl Lawson","DE","6-2",265,"1995-06-29","in Alpharetta, GA","Auburn (College Stats)","LawsCa00",2017,2020
"3660","Gerard Lawson","DB","5-10",195,"1985-01-12","in Las Vegas, NV","Oregon St. (College Stats)","LawsGe20",2008,2010
"3661","Manny Lawson","DE","6-5",240,"1984-07-13","in Goldsboro, NC","North Carolina St. (College Stats)","LawsMa20",2006,2015
"3662","Nevin Lawson","CB","5-9",192,"1991-04-23","in Kingston, Jamaica","Utah St. (College Stats)","LawsNe00",2014,2021
"3663","Shaq Lawson","DE","6-3",270,"1994-06-17","in Central, SC","Clemson (College Stats)","LawsSh00",2016,2021
"3664","Luke Lawton","RB","5-11",237,"1980-08-26","in Lafayette, LA","McNeese St.","LawtLu00",2005,2009
"3665","Justin Layne","CB","6-2",192,"1998-01-12","in Cleveland, OH","Michigan St. (College Stats)","LaynJu00",2019,2021
"3666","Allen Lazard","WR","6-5",227,"1995-12-11","in Des Moines, IA","Iowa St. (College Stats)","LazaAl00",2018,2021
"3667","Mike Leach","TE","6-2",235,"1976-10-18","in Dover, NJ","Boston Univ., William & Mary","LeacMi00",2000,2015
"3668","Vonta Leach","RB","6-0",260,"1981-11-06","in Lumberton, NC","East Carolina (College Stats)","LeacVo00",2004,2013
"3669","Javon Leake","RB","6-0",206,"1998-08-01","in Greensboro, NC","Maryland (College Stats)","LeakJa01",2020,2020
"3670","Ronald Leary","G","6-3",320,"1989-04-29","in Baton Rouge, LA","Memphis (College Stats)","LearRo00",2013,2019
"3671","Alex Leatherwood","T","6-5",312,"1999-01-05","in Pensacola, FL","Alabama (College Stats)","LeatAl00",2021,2021
"3672","Dallin Leavitt","S","5-10",195,"1994-08-08","in Portland, OR","Utah St. (College Stats)","LeavDa00",2018,2021
"3673","Ben Leber","LB","6-3",244,"1978-12-07","in Council Bluffs, IA","Kansas St. (College Stats)","LebeBe20",2002,2011
"3674","Cre'von LeBlanc","DB","5-10",190,"1994-07-25","in West Palm Beach, FL","Florida Atlantic (College Stats)","LeBlCr01",2016,2020
"3675","Shane Lechler","P","6-2",230,"1976-08-07","in Sealy, TX","Texas A&M (College Stats)","LechSh20",2000,2017
"3676","Nick Leckey","C-G","6-3",291,"1982-03-12","in Grapevine, TX","Kansas St. (College Stats)","LeckNi20",2004,2009
"3677","Richard LeCounte","S","5-11",196,"1998-09-11","in Riceboro, GA","Georgia (College Stats)","LeCoRi00",2021,2021
"3678","Jeremiah Ledbetter","DT","6-3",295,"1994-06-02","in Orlando, FL","Arkansas (College Stats)","LedbJe00",2017,2021
"3679","Jonathan Ledbetter","DE","6-4",280,"1997-09-12","in Tucker, GA","Georgia (College Stats)","LedbJo01",2019,2019
"3680","Andy Lee","P","6-1",185,"1982-08-11","in Westminster, SC","Pittsburgh (College Stats)","LeexAn20",2004,2021
"3681","Cameron Lee","G","6-4",312,"1993-12-28","in Danville, IL","Illinois St.","LeexCa01",2017,2017
"3682","Darron Lee","OLB","6-1",232,"1994-10-18","in Chattanooga, TN","Ohio St. (College Stats)","LeexDa00",2016,2020
"3683","Donald Lee","TE","6-4",248,"1980-08-31","in Maben, MS","Mississippi St. (College Stats)","LeexDo00",2003,2011
"3684","Elijah Lee","OLB","6-3",230,"1996-02-08","in Houma, LA","Kansas St. (College Stats)","LeexEl00",2017,2021
"3685","Eric Lee","LB","6-3",259,"1994-08-06","in Panama City, FL","South Florida (College Stats)","LeexEr00",2017,2018
"3686","James Lee","T-G","6-4",300,"1985-08-17","in Belle Glade, FL","South Carolina St.","LeexJa22",2008,2011
"3687","Khari Lee","TE","6-4",253,"1992-01-16","in Baltimore, MD","Bowie St.","LeexKh00",2015,2018
"3688","Marqise Lee","WR","6-0",196,"1991-11-25","in Inglewood, CA","USC (College Stats)","LeexMa00",2014,2019
"3689","Marquel Lee","ILB","6-3",235,"1995-10-21","in Waldorf, MD","Wake Forest (College Stats)","LeexMa01",2017,2021
"3690","Pat Lee","DB","5-11",194,"1984-02-20","in Miami, FL","Auburn (College Stats)","LeexPa99",2008,2012
"3691","Sean Lee","MLB","6-2",245,"1986-07-22","in Pittsburgh, PA","Penn St. (College Stats)","LeexSe99",2010,2020
"3692","Joe Lefeged","DB","5-11",208,"1988-06-02","in Germantown, MD","Rutgers (College Stats)","LefeJo00",2011,2013
"3693","Byron Leftwich","QB Throws: Right","6-5",250,"1980-01-14","in Washington, DC","Marshall (College Stats)","LeftBy00",2003,2012
"3694","Jordan Leggett","TE","6-5",258,"1995-01-31","in Navarre, FL","Clemson (College Stats)","LeggJo00",2018,2018
"3695","Maurice Leggett","DB","5-11",188,"1986-10-02","in McKeesport, PA","Valdosta St.","LeggMa99",2008,2009
"3696","Doug Legursky","C","6-1",323,"1986-06-09","in Frankfurt, Hesse","Marshall (College Stats)","LeguDo00",2009,2015
"3697","Matt Leinart","QB Throws: Left","6-5",225,"1983-05-11","in Santa Ana, CA","USC (College Stats)","LeinMa00",2006,2012
"3698","Rodney Leisle","DT","6-3",315,"1981-02-05","in Fresno, CA","UCLA (College Stats)","LeisRo20",2004,2009
"3699","Tim Lelito","G","6-3",335,"1989-07-21","in Rochester, MI","Grand Valley St.","LeliTi00",2013,2017
"3700","Shane Lemieux","OL","6-4",310,"1997-05-12","in Yakima, WA","Oregon (College Stats)","LemiSh00",2020,2021
"3701","Orie Lemon","LB","6-1",244,"1987-09-09","in Houston, TX","Oklahoma St. (College Stats)","LemoOr00",2012,2015
"3702","Corey Lemonier","OLB","6-4",255,"1991-11-19","in Hialeah, FL","Auburn (College Stats)","LemoCo00",2013,2016
"3703","Jessie Lemonier","DE","6-3",240,"1997-01-31","in Hialeah, FL","Liberty","LemoJe00",2020,2020
"3704","Matt Lengel","TE","6-7",265,"1990-12-27","in Mechanicsburg, PA","Northeastern, East. Kentucky","LengMa00",2016,2019
"3705","Charles Leno Jr.","LT","6-3",302,"1991-10-09","in Oakland, CA","Boise St. (College Stats)","LenoCh00",2014,2021
"3706","Deommodore Lenoir","DB","5-10",200,"1999-10-06","in Los Angeles, CA","Oregon (College Stats)","LenoDe00",2021,2021
"3707","Lance Lenoir","WR","6-0",210,"1995-02-09","in Chicago, IL","Western Illinois","LenoLa00",2017,2018
"3708","Paris Lenon","MLB","6-2",240,"1977-11-26","in Lynchburg, VA","Richmond","LenoPa20",2002,2013
"3709","Brian Leonard","RB","6-2",226,"1984-02-03","in Gouveneur, NY","Rutgers (College Stats)","LeonBr00",2007,2014
"3710","Darius Leonard","LB","6-2",230,"1995-07-27","in Nichols, SC","South Carolina St.","LeonDa00",2018,2021
"3711","Louis Leonard","DT","6-5",325,"1984-07-16","in Los Angeles, CA","Fresno St. (College Stats)","LeonLo99",2007,2010
"3712","Jim Leonhard","DB","5-8",188,"1982-10-27","in Tony, WI","Wisconsin (College Stats)","LeonJi23",2005,2014
"3713","Brian Leonhardt","TE","6-5",255,"1990-04-02","in Blaine, MN","Bemidji St.","LeonBr01",2014,2015
"3714","Josh LeRibeus","G","6-2",315,"1989-07-02","in Houston, TX","SMU","LeRiJo00",2012,2018
"3715","Mikel Leshoure","RB","6-0",230,"1990-03-30","in Champaign, IL","Illinois (College Stats)","LeshMi00",2012,2013
"3716","Jordan Leslie","WR","6-1",205,"1991-10-31","in Houston, TX","Texas-El Paso, BYU","LeslJo00",2017,2017
"3717","Robert Lester","S","6-2",210,"1988-04-30","in Foley, AL","Alabama (College Stats)","LestRo01",2013,2014
"3718","Corey Levin","OL","6-4",307,"1994-08-12","in Dacula, GA","Chattanooga","LeviCo00",2018,2021
"3719","Anthony Levine","S","5-11",207,"1987-03-27","in Abbeville, LA","Tennessee St.","LeviAn00",2012,2021
"3720","Lazarius Levingston","DL","6-4",292,"1987-11-16","in Monroe, LA","LSU (College Stats)","LeviLa00",2011,2012
"3721","Andy Levitre","G","6-2",303,"1986-05-15","in Los Gatos, CA","Oregon St. (College Stats)","LeviAn20",2009,2018
"3722","Mark LeVoir","T","6-7",310,"1982-07-29","in Minneapolis, MN","Notre Dame (College Stats)","LeVoMa99",2008,2011
"3723","DeAndre Levy","MLB","6-2",230,"1987-03-26","in Milwaukee, WI","Wisconsin (College Stats)","LevyDe99",2009,2016
"3724","Taylor Lewan","OT","6-7",309,"1991-07-22","in Loomis, CA","Michigan (College Stats)","LewaTa00",2014,2021
"3725","Alex Lewis","OT","6-6",305,"1992-04-21","in Tempe, AZ","Colorado, Nebraska (College Stats)","LewiAl01",2016,2020
"3726","Cameron Lewis","DB","5-9",185,"1997-04-13","in Detroit, MI","Buffalo","LewiCa00",2020,2021
"3727","D.D. Lewis","MLB","6-1",241,"1979-01-08","in Bremerhaven, Bremen","Texas (College Stats)",NA,2002,2009
"3728","Damien Lewis","OL","6-2",327,"1997-03-21","in Biloxi, MS","LSU (College Stats)","LewiDa05",2020,2021
"3729","Damione Lewis","DT","6-2",301,"1978-03-01","in Sulphur Springs, TX","Miami (FL)","LewiDa20",2001,2010
"3730","Dezmin Lewis","WR","6-4",214,"1992-12-05","in Mesquite, TX","Central Arkansas","LewiDe02",2015,2016
"3731","Dion Lewis","RB","5-8",195,"1990-09-27","in Brooklyn, NY","Pittsburgh (College Stats)","LewiDi00",2011,2020
"3732","Greg Lewis","WR","6-0",185,"1980-02-12","in Chicago, IL","Illinois (College Stats)","LewiGr01",2003,2010
"3733","Jamal Lewis","RB","5-11",245,"1979-08-29","in Atlanta, GA","Tennessee (College Stats)","LewiJa00",2000,2009
"3734","Jourdan Lewis","CB","5-10",195,"1995-08-31","in Detroit, MI","Michigan (College Stats)","LewiJo01",2017,2021
"3735","Keenan Lewis","DB","6-0",198,"1986-05-17","in New Orleans, LA","Oregon St. (College Stats)","LewiKe96",2009,2015
"3736","Kendrick Lewis","DB","6-0",205,"1988-06-16","in New Orleans, LA","Mississippi (College Stats)","LewiKe00",2010,2018
"3737","Lance Lewis","WR","6-3",209,"1988-11-01","in Concord, NC","East Mississippi CC, East Carolina","LewiLa00",2013,2013
"3738","LaTroy Lewis","LB","6-3",255,"1993-11-09","in Akron, OH","Tennessee (College Stats)","LewiLa01",2017,2017
"3739","LeQuan Lewis","CB","5-11",190,"1989-02-17","in Los Angeles, CA","Arizona St.","LewiLe01",2012,2014
"3740","Marcedes Lewis","TE","6-6",267,"1984-05-19","in Long Beach, CA","UCLA (College Stats)","LewiMa00",2006,2021
"3741","Michael Lewis","DB","6-1",222,"1980-04-29","in Houston, TX","Colorado (College Stats)","LewiMi99",2002,2010
"3742","Myron Lewis","DB","6-2",203,"1987-11-24","in Pompano Beach, FL","Vanderbilt (College Stats)","LewiMy99",2010,2012
"3743","Patrick Lewis","C","6-1",311,"1991-01-30","in Reserve, LA","Texas A&M (College Stats)","LewiPa00",2014,2016
"3744","Ray Lewis","LB","6-1",240,"1975-05-15","in Bartow, FL","Miami (FL) (College Stats)","LewiRa00",1996,2012
"3745","Roger Lewis","WR","6-0",203,"1993-11-27","in Pickerington, OH","Bowling Green (College Stats)","LewiRo03",2016,2017
"3746","Ronnell Lewis","OLB","6-1",253,"1990-09-17","in Dewar, OK","Oklahoma (College Stats)","LewiRo02",2012,2012
"3747","Roy Lewis","DB","5-10",190,"1985-05-19","in Gardena, CA","Washington (College Stats)","LewiRo22",2008,2011
"3748","Ryan Lewis","CB","6-0",185,"1994-04-15","in Seattle, WA","Pittsburgh (College Stats)","LewiRy01",2018,2020
"3749","Terrell Lewis","LB","6-5",262,"1998-08-25","in Washington, DC","Alabama (College Stats)","LewiTe00",2020,2021
"3750","Thaddeus Lewis","QB Throws: Right","6-0",200,"1985-02-01","in Opa-locka, FL","Duke (College Stats)","LewiTh01",2012,2013
"3751","Tommylee Lewis","WR","5-7",168,"1992-10-24","in West Palm Beach, FL","Northern Illinois (College Stats)","LewiTo00",2016,2020
"3752","Travis Lewis","OLB","6-1",246,"1988-01-15","in San Antonio, TX","Oklahoma (College Stats)","LewiTr00",2012,2015
"3753","Trey Lewis","DT","6-3",294,"1985-05-23","in Topeka, KS","Washburn","LewiTr99",2007,2010
"3754","Tyquan Lewis","DE","6-3",277,"1995-01-30","in Tarboro, NC","Ohio St. (College Stats)","LewiTy00",2018,2021
"3755","Chris Lewis-Harris","CB","6-1",198,"1989-02-11","in Riverdale, GA","Chattanooga","LewiCh01",2012,2016
"3756","Kapron Lewis-Moore","DE","6-4",315,"1990-01-24","in Weatherford, TX","Notre Dame (College Stats)","LewiKa00",2015,2015
"3757","Kory Lichtensteiger","C","6-3",296,"1985-03-22","in Van Wert, OH","Bowling Green","LichKo20",2008,2016
"3758","Mike Liedtke","OL","6-3",305,"1992-01-15","in Woodstock, IL","Illinois St.","LiedMi00",2017,2018
"3759","Alex Light","T","6-5",309,"1996-05-02","in Salem, VA","Richmond","LighAl00",2018,2019
"3760","Matt Light","T","6-4",305,"1978-06-23","in Greenville, OH","Purdue (College Stats)","LighMa20",2001,2011
"3761","Ryan Lilja","G","6-2",290,"1981-10-15","in Kansas City, MO","Kansas St.","LiljRy20",2004,2012
"3762","Rian Lindell","K","6-3",227,"1977-01-20","in Vancouver, WA","Washington St. (College Stats)","linderia01",2000,2013
"3763","Brandon Linder","OG","6-6",315,"1992-01-25","in Southwest Ranches, FL","Miami (FL) (College Stats)","LindBr00",2014,2021
"3764","Ryan Lindley","QB Throws: Right","6-3",229,"1989-06-02","in San Diego, CA","San Diego St. (College Stats)","LindRy00",2012,2015
"3765","Trevard Lindley","DB","5-11",178,"1986-02-02","in Litha Springs, GA","Kentucky (College Stats)","LindTr99",2010,2010
"3766","Phillip Lindsay","RB","5-8",190,"1994-07-24","in Denver, CO","Colorado (College Stats)","LindPh00",2018,2021
"3767","Chris Lindstrom","OL","6-3",307,"1997-02-28","in Dudley, MA","Boston Col. (College Stats)","LindCh00",2019,2021
"3768","Zach Line","FB","6-1",233,"1990-04-26","in Oxford, MI","SMU (College Stats)","LineZa01",2013,2019
"3769","Jeff Linkenbach","T","6-6",303,"1987-06-09","in Sandusky, OH","Cincinnati","LinkJe20",2010,2015
"3770","Corey Linsley","C","6-3",301,"1991-07-27","in Youngstown, OH","Ohio St. (College Stats)","LinsCo00",2014,2021
"3771","Tony Lippett","WR","6-2",192,"1992-07-02","in Detroit, MI","Michigan St. (College Stats)","LippTo00",2015,2018
"3772","Sean Lissemore","DE","6-4",286,"1987-09-11","in Teaneck, NJ","William & Mary","LissSe99",2010,2015
"3773","Greg Little","WR","6-2",220,"1989-05-30","in Durham, NC","North Carolina (College Stats)","LittGr00",2011,2014
"3774","Greg Little","OL","6-5",310,"1997-11-04","in Allen, TX","Mississippi (College Stats)","LittGr01",2019,2020
"3775","Leonard Little","DE","6-3",267,"1974-10-19","in Asheville, NC","Tennessee","LittLe00",1998,2009
"3776","Walker Little","OT","6-7",309,"1999-04-01","in Houston, TX","Stanford (College Stats)","LittWa00",2021,2021
"3777","Cory Littleton","LB","6-3",228,"1993-11-18","in Spring Valley, CA","Washington (College Stats)","LittCo01",2016,2021
"3778","Corey Liuget","DT","6-2",300,"1990-03-18","in Miami, FL","Illinois (College Stats)","LiugCo00",2011,2020
"3779","Nate Livings","G","6-4",320,"1982-03-16","in Lake Charles, LA","LSU","LiviNa20",2008,2012
"3780","Brandon Lloyd","WR","6-0",200,"1981-07-05","in Kansas City, MO","Illinois (College Stats)","LloyBr00",2003,2014
"3781","Greg Lloyd","LB","6-1",247,"1989-02-10","in Clermont, FL","Connecticut (College Stats)","LloyGr01",2012,2012
"3782","Rhys Lloyd","K","5-11",231,"1982-06-05","in Dover, England","Minnesota (College Stats)","LloyRh44",2007,2010
"3783","Phil Loadholt","T","6-8",343,"1986-01-21","in Honolulu, HI","Oklahoma (College Stats)","LoadPh20",2009,2014
"3784","Drew Lock","QB","6-4",228,"1996-11-10","in Columbia, MO","Missouri (College Stats)","LockDr00",2019,2021
"3785","Jeff Locke","P","6-0",195,"1989-09-27","in Frankfurt, Hesse","UCLA (College Stats)","LockJe00",2013,2017
"3786","P.J. Locke","DB","5-10",202,"1997-02-12","in Beaumont, TX","Texas","LockPJ00",2020,2021
"3787","Jake Locker","QB Throws: Right","6-2",228,"1988-06-15","in Ferndale, WA","Washington (College Stats)","LockJa00",2011,2014
"3788","Bret Lockett","DB","6-1",210,"1986-10-07","in San Dimas, CA","UCLA (College Stats)","LockBr00",2009,2009
"3789","Tyler Lockett","WR","5-10",182,"1992-09-28","in Tulsa, OK","Kansas St. (College Stats)","LockTy00",2015,2021
"3790","Ricardo Lockette","WR","6-2",211,"1986-05-21","in Albany, GA","Fort Valley St.","LockRi00",2011,2015
"3791","Sean Locklear","T-G","6-4",310,"1981-05-29","in Lumberton, NC","North Carolina St. (College Stats)","LockSe20",2004,2012
"3792","Michael Lockley","LB","6-1",237,"1988-04-20","in Orlando, FL","Florida Atlantic (College Stats)","LockMi00",2011,2011
"3793","Cullen Loeffler","C","6-5",247,"1981-01-27","in Washington, DC","Texas","LoefCu20",2004,2014
"3794","Mitchell Loewen","DE","6-5",285,"1993-02-14","in Lahaina, HI","Arkansas (College Stats)","LoewMi00",2017,2019
"3795","Curtis Lofton","LB","6-2",238,"1986-06-02","in Kingfisher, OK","Oklahoma (College Stats)","LoftCu99",2008,2015
"3796","Bennie Logan","DT","6-2",315,"1989-12-28","in Coushatta, LA","LSU (College Stats)","LogaBe00",2013,2018
"3797","Stefan Logan","RB","5-7",177,"1981-06-02","in Tampa, FL","South Dakota","LogaSt00",2009,2012
"3798","T.J. Logan","RB","5-11",195,"1994-09-03","in Greensboro, NC","North Carolina (College Stats)",NA,2018,2019
"3799","Derek Lokey","DT","6-1",287,"1985-11-25","in Nacogdoches, TX","Texas (College Stats)","LokeDe20",2008,2009
"3800","Chris Long","DE","6-3",270,"1985-03-28","in Santa Monica, CA","Virginia (College Stats)","LongCh99",2008,2018
"3801","David Long","CB","5-11",196,"1998-02-06","in Los Angeles, CA","Michigan (College Stats)","LongDa02",2019,2021
"3802","David Long","LB","5-11",227,"1996-10-12","in Cincinnati, OH","West Virginia (College Stats)","LongDa04",2019,2021
"3803","Hunter Long","TE","6-5",253,"1998-08-19","in Exeter, NH","Boston Col. (College Stats)","LongHu00",2021,2021
"3804","Jake Long","T","6-7",315,"1985-05-09","in Detroit, MI","Michigan (College Stats)","LongJa20",2008,2016
"3805","Jerome Long","DT","April 9, 1990",NA,"","","","LongJe00",2013,2013
"3806","Kyle Long","OT","6-6",332,"1988-12-05","in Ivy, VA","Oregon","LongKy00",2013,2019
"3807","Lance Long","WR","5-11",186,"1985-05-04","in Detroit, MI","Mississippi St. (College Stats)","LongLa00",2009,2009
"3808","Spencer Long","OG","6-5",318,"1990-11-08","in Elkhorn, NE","Nebraska (College Stats)","LongSp00",2014,2019
"3809","Ty Long","P","6-2",205,"1993-04-06","in Roswell, GA","Ala-Birmingham","LongTy00",2019,2021
"3810","Steve Longa","LB","6-0",240,"1994-09-29","in Youande, Cameroon","Rutgers (College Stats)","LongSt00",2016,2019
"3811","Matt Longacre","DE","6-3",265,"1991-09-21","in Omaha, NE","NW Missouri St.","LongMa00",2015,2018
"3812","Ryan Longwell","K","6-0",200,"1974-08-16","in Seattle, WA","California (College Stats)","longwrya01",1997,2012
"3813","James Looney","DE","6-3",287,"1995-05-15","in Palm Beach, FL","Wake Forest, California (College Stats)","LoonJa00",2018,2018
"3814","Joe Looney","G","6-3",315,"1990-08-31","in Lake Worth, FL","Wake Forest (College Stats)","LoonJo01",2013,2020
"3815","Daniel Loper","T","6-6",320,"1982-01-15","in Houston, TX","Texas Tech","LopeDa20",2006,2010
"3816","Roy Lopez","DT","6-2",318,"1997-08-07","in Tempe, AZ","New Mexico St., Arizona (College Stats)","LopeRo00",2021,2021
"3817","Erik Lorig","DE","6-4",265,"1986-11-17","in Rolling Hills, CA","Stanford (College Stats)","LoriEr99",2010,2014
"3818","J.P. Losman","QB Throws: Right","6-2",217,"1981-03-12","in Venice, CA","UCLA, Tulane (College Stats)",NA,2004,2011
"3819","Craig Loston","SS","6-1",217,"1989-12-21","in Houston, TX","LSU (College Stats)","LostCr00",2014,2015
"3820","John Lotulelei","OLB","6-0",233,"1991-12-04","in Kihei, HI","UNLV (College Stats)","LotuJo00",2013,2015
"3821","Star Lotulelei","DT","6-2",315,"1989-12-20","in Tonga","Snow (UT), Utah (College Stats)","LotuSt00",2013,2021
"3822","Isaiahh Loudermilk","DE","6-7",249,"1997-10-10","in Howard, KS","Wisconsin (College Stats)","LoudIs00",2021,2021
"3823","Lamar Louis","LB","6-0",231,"1993-10-02","in Breuax Bridge, LA","LSU (College Stats)","LouiLa00",2016,2016
"3824","Lance Louis","G","6-2",303,"1985-04-24","in New Orleans, LA","San Diego St. (College Stats)","LouiLa20",2010,2015
"3825","Ricardo Louis","WR","6-2",215,"1994-03-23","in Miami, FL","Auburn (College Stats)","LouiRi00",2016,2017
"3826","Al Louis-Jean","CB","6-1",187,"1993-10-13","in Brockton, MA","Boston Col.","LouiAl00",2014,2014
"3827","Rick Lovato","LS","6-2",249,"1992-09-09","in Middletown, NJ","Old Dominion","LovaRi00",2015,2021
"3828","Jordan Love","QB Throws: Right","6-4",219,"1998-11-02","in Bakersfield, CA","Utah St. (College Stats)","LoveJo03",2021,2021
"3829","Julian Love","CB","5-11",195,"1998-03-19","in Westchester, IL","Notre Dame (College Stats)","LoveJu00",2019,2021
"3830","Kyle Love","DT","6-1",310,"1986-11-18","in South Korea","Mississippi St. (College Stats)","LoveKy00",2010,2019
"3831","Mike Love","DE","6-3",255,"1994-01-22","in Clearwater, FL","South Florida (College Stats)","LoveMi00",2018,2020
"3832","John Lovett","TE","6-3",225,"1996-04-25","in Wantagh, NY","Princeton","LoveJo02",2020,2020
"3833","Dwight Lowery","DB","6-1",185,"1986-01-23","in Santa Cruz, CA","San Jose St. (College Stats)","LoweDw99",2008,2016
"3834","Dean Lowry","DE","6-6",296,"1994-06-09","in Rockford , IL","Northwestern (College Stats)","LowrDe00",2016,2021
"3835","Shalom Luani","SS","6-0",202,"1994-08-05","in Pago Pago, American Samoa","Washington St. (College Stats)","LuanSh00",2017,2019
"3836","Cornelius Lucas","OT","6-8",327,"1991-07-18","in New Orleans, LA","Kansas St. (College Stats)","LucaCo01",2014,2021
"3837","Jordan Lucas","SS","6-1",190,"1993-08-02","in White Plains, NY","Penn St. (College Stats)","LucaJo00",2016,2021
"3838","Ken Lucas","DB","6-0",205,"1979-01-23","in Cleveland, MS","Mississippi (College Stats)","LucaKe20",2001,2009
"3839","Andrew Luck","QB Throws: Right","6-4",240,"1989-09-12","in Washington, DC","Stanford (College Stats)","LuckAn00",2012,2018
"3840","Jonathan Luigs","C","6-3",303,"1986-08-11","in Little Rock, AR","Arkansas (College Stats)","LuigJo20",2009,2009
"3841","Cole Luke","CB","5-11",200,"1995-06-30","in Chandler, AZ","Notre Dame","LukeCo00",2019,2020
"3842","Kregg Lumpkin","RB","5-11",222,"1984-05-15","in Albany, GA","Georgia (College Stats)","LumpKr00",2008,2012
"3843","Ricky Lumpkin","DT","6-4",306,"1988-09-07","in Clarksville, TN","Kentucky (College Stats)","LumpRi00",2012,2014
"3844","Brad Lundblade","C","6-3",305,"1995-09-21","in Nashville, TN","Oklahoma St.","LundBr00",2019,2019
"3845","Jake Luton","QB","6-6",224,"1996-04-11","in Marysville, WA","Idaho, Oregon St. (College Stats)","LutoJa00",2020,2020
"3846","Scott Lutrus","LB","6-2",239,"1988-04-23","in Brookfield, CT","Connecticut (College Stats)","LutrSc00",2011,2011
"3847","Deuce Lutui","G","6-4",338,"1983-05-05","in Hai'api, Tonga","Snow (UT), USC","LutuDe20",2006,2012
"3848","Wil Lutz","K","5-11",184,"1994-07-07","in Newnan, GA","Georgia St.","LutzWi00",2016,2020
