"name","full_team","team","year","games_in_season","num_games_injured","num_games_missing","injury_types","earliest_injury","latest_injury","head","shoulder","upper_torso","lower_torso","arm","hand","leg","foot","short_team_name","injury","total_injuries","position_id","NFL_draft_year","NFL_draft_round","NFL_draft_rank","height_inches","weight_pounds","birthdate","forty_yd","three_cone","bench","broad_jump","combine_height","combine_weight","shuttle","vertical","game_starter","age","bmi"
"Bobby Richardson","New Orleans Saints","nor",2015,16,3,1,"hip hamstring",5,13,0,0,0,1,0,0,1,0,"NO","1",2,"DEF",NA,NA,NA,75,288,"1992-11-30",5.16,7.57,0,106,75,283,4.41,32.5,1,23,35.9936
"Khiry Robinson","New Orleans Saints","nor",2015,16,8,8,"leg",9,16,0,0,0,0,0,0,1,0,"NO","1",1,"RB",NA,NA,NA,72,220,"1989-12-28",NA,NA,NA,NA,NA,NA,NA,NA,0,25,29.8341049382716
"Jamarca Sanford","New Orleans Saints","nor",2015,16,1,0,"hip",12,12,0,0,0,1,0,0,0,0,"NO","1",1,"DEF",2009,7,231,70,200,"1985-08-27",4.43,7.02,29,116,70,214,4.2,33.5,0,30,28.6938775510204
"Willie Snead","New Orleans Saints","nor",2015,16,5,1,"knee calf",9,13,0,0,0,0,0,0,2,0,"NO","1",2,"WR",NA,NA,NA,71,200,"1992-10-17",4.62,7.19,11,113,71,195,4.39,33.5,1,23,27.8912914104344
"C.J. Spiller","New Orleans Saints","nor",2015,16,4,3,"knee  head",1,16,1,0,0,0,0,0,1,0,"NO","1",2,"RB",2010,1,9,71,194,"1987-08-05",4.37,0,18,0,71,196,0,0,0,28,27.0545526681214
"Zach Strief","New Orleans Saints","nor",2015,16,4,1,"shoulder hip elbow",13,16,0,1,0,1,1,0,0,0,"NO","1",3,"OL",2006,7,210,79,320,"1983-09-22",5.38,8.01,19,94,80,330,4.83,21,1,32,36.0455055279603
"Damian Swann","New Orleans Saints","nor",2015,16,10,9,"concussion",6,16,1,0,0,0,0,0,0,0,"NO","1",1,"DEF",2015,5,167,72,180,"1992-12-05",4.5,0,0,118,72,189,0,33,0,23,24.4097222222222
"Ben Watson","New Orleans Saints","nor",2015,16,1,0,"knee",15,15,0,0,0,0,0,0,1,0,"NO","1",1,"TE",2004,1,32,75,255,"1980-12-18",4.5,7.38,34,123,75,258,4.11,35.5,1,34,31.8693333333333
"Danny Aiken","New York Giants","nyg",2015,16,1,1,"wrist",16,16,0,0,0,0,0,1,0,0,"NYG","1",1,"OL",NA,NA,NA,76,250,"1988-08-28",5,0,11,0,76,244,0,0,0,27,30.4276315789474
"Prince Amukamara","New York Giants","nyg",2015,16,6,5,"pectoral",6,11,0,0,1,0,0,0,0,0,"NYG","1",1,"DEF",2011,1,19,72,206,"1989-06-06",4.38,6.97,15,128,72,206,4.08,38,1,26,27.9355709876543
"Robert Ayers","New York Giants","nyg",2015,16,7,4,"hamstring toe neck",3,13,1,0,0,0,0,0,1,1,"NYG","1",3,"DEF",2009,1,18,75,275,"1985-09-06",4.77,7.56,18,102,75,272,4.51,29.5,1,30,34.3688888888889
"Jon Beason","New York Giants","nyg",2015,16,14,11,"knee  concussion ankle",1,16,1,0,0,0,0,0,1,1,"NYG","1",3,"DEF",2007,1,25,72,237,"1985-01-14",4.72,0,19,111,72,237,0,0,1,30,32.1394675925926
"Jay Bromley","New York Giants","nyg",2015,16,1,0,"knee",3,3,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",2014,3,74,75,314,"1992-05-28",5.06,7.92,26,106,75,306,4.78,33.5,1,23,39.2430222222222
"Jonathan Casillas","New York Giants","nyg",2015,16,4,1,"neck  calf",1,7,1,0,0,0,0,0,1,0,"NYG","1",2,"DEF",NA,NA,NA,72,225,"1987-06-03",4.5,0,24,0,73,228,0,0,1,28,30.5121527777778
"Jerome Cunningham","New York Giants","nyg",2015,16,3,3,"knee",3,5,0,0,0,0,0,0,1,0,"NYG","1",1,"TE",NA,NA,NA,76,254,"1991-05-25",NA,NA,NA,NA,NA,NA,NA,NA,1,24,30.9144736842105
"Craig Dahl","New York Giants","nyg",2015,16,2,1,"neck concussion",9,16,2,0,0,0,0,0,0,0,"NYG","1",2,"DEF",NA,NA,NA,73,207,"1985-06-17",4.55,6.69,17,122,74,216,4.26,35,1,30,27.3073747419779
"Orleans Darkwa","New York Giants","nyg",2015,16,3,0,"knee back illness",4,15,0,0,1,0,0,0,1,0,"NYG","1",2,"RB",NA,NA,NA,72,210,"1992-02-28",NA,NA,NA,NA,NA,NA,NA,NA,0,23,28.4780092592593
"Zak DeOssie","New York Giants","nyg",2015,16,4,4,"wrist",13,16,0,0,0,0,0,1,0,0,"NYG","1",1,"DEF",2007,4,116,77,250,"1984-05-24",4.58,6.89,26,122,77,250,4.22,34.5,0,31,29.6424354865913
"Larry Donnell","New York Giants","nyg",2015,16,8,8,"neck",9,16,1,0,0,0,0,0,0,0,"NYG","1",1,"TE",NA,NA,NA,77,269,"1988-11-01",NA,NA,NA,NA,NA,NA,NA,NA,1,27,31.8952605835723
"Daniel Fells","New York Giants","nyg",2015,16,15,14,"foot ankle",2,16,0,0,0,0,0,0,0,2,"NYG","1",2,"TE",NA,NA,NA,76,260,"1983-09-23",4.95,7.27,19,108,75,259,4.46,29.5,0,32,31.6447368421053
"Ereck Flowers","New York Giants","nyg",2015,16,7,1,"ankle illness",2,15,0,0,0,0,0,0,0,1,"NYG","1",1,"OL",2015,1,9,78,330,"1994-04-25",5.31,NA,37,NA,78,329,NA,NA,1,21,38.1311637080868
"Johnathan Hankins","New York Giants","nyg",2015,16,8,7,"calf pectoral",7,16,0,0,1,0,0,0,1,0,"NYG","1",2,"DEF",2013,2,49,75,340,"1992-03-30",5.31,7.59,NA,104,75,320,4.61,26,1,23,42.4924444444444
"Dwayne Harris","New York Giants","nyg",2015,16,3,1,"shoulder back",14,16,0,1,1,0,0,0,0,0,"NYG","1",2,"WR",2011,6,176,70,215,"1987-09-16",4.53,6.77,10,111,70,203,4.21,34,1,28,30.8459183673469
"Jayron Hosley","New York Giants","nyg",2015,16,1,0,"concussion",5,5,1,0,0,0,0,0,0,0,"NYG","1",1,"DEF",2012,3,94,70,178,"1990-09-18",4.38,0,11,0,70,178,0,0,0,25,25.5375510204082
"Cullen Jenkins","New York Giants","nyg",2015,16,2,0,"hamstring",1,3,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",NA,NA,NA,74,305,"1981-01-20",NA,NA,NA,NA,NA,NA,NA,NA,1,34,39.1554054054054
"Devon Kennard","New York Giants","nyg",2015,16,7,6,"hamstring foot",5,15,0,0,0,0,0,0,1,1,"NYG","1",2,"OL",2014,5,174,75,256,"1991-06-24",4.7,7.25,23,113,75,249,4.32,30,1,24,31.9943111111111
"Markus Kuhn","New York Giants","nyg",2015,16,7,6,"knee",2,16,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",2012,7,239,76,299,"1986-05-06",4.87,7.43,28,112,77,299,4.41,34.5,1,29,36.3914473684211
"Trumaine McBride","New York Giants","nyg",2015,16,3,1,"groin",5,7,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",2007,7,221,69,185,"1985-09-24",4.57,6.96,14,122,69,185,4.32,34.5,0,30,27.3167401806343
"Leon McFadden","New York Giants","nyg",2015,16,3,3,"groin",9,11,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",2013,3,68,70,190,"1990-10-26",4.54,6.81,10,119,70,193,4.27,34.5,0,25,27.2591836734694
"Brandon McGee","New York Giants","nyg",2015,16,1,1,"back",7,7,0,0,1,0,0,0,0,0,"NYG","1",1,"DEF",2013,5,149,71,193,"1990-12-11",4.4,6.71,14,119,71,193,4.18,33.5,0,24,26.9150962110692
"Brandon Meriweather","New York Giants","nyg",2015,16,2,2,"knee",12,13,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",2007,1,24,71,195,"1984-01-14",4.47,7.06,11,111,71,195,4.33,35,1,31,27.1940091251736
"Damontre Moore","New York Giants","nyg",2015,16,1,0,"hamstring",11,11,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",2013,3,81,76,260,"1992-09-11",4.95,NA,12,122,76,250,NA,35.5,0,23,31.6447368421053
"James Morris","New York Giants","nyg",2015,16,2,2,"quadricep",15,16,0,0,0,0,0,0,1,0,"NYG","1",1,"DEF",NA,NA,NA,73,241,"1991-11-20",4.8,6.94,18,117,73,241,4.36,34.5,0,24,31.7926440232689
"Marshall Newhouse","New York Giants","nyg",2015,16,3,2,"back concussion",12,16,1,0,1,0,0,0,0,0,"NYG","1",2,"OL",2010,5,169,76,330,"1988-09-29",4.99,7.4,25,97,76,319,4.6,25,1,27,40.1644736842105
"Owamagbe Odighizuwa","New York Giants","nyg",2015,16,13,12,"foot  hamstring",1,16,0,0,0,0,0,0,1,1,"NYG","1",2,"DEF",2015,3,74,76,264,"1992-04-01",4.62,7.36,25,127,75,267,4.19,39,0,23,32.1315789473684
"Jason Pierre-Paul","New York Giants","nyg",2015,16,2,0,"hand ankle",12,16,0,0,0,0,0,1,0,1,"NYG","1",2,"DEF",2010,1,15,77,275,"1989-01-01",4.71,7.18,19,115,77,270,4.67,30.5,1,26,32.6066790352505
"Justin Pugh","New York Giants","nyg",2015,16,4,2,"ankle illness concussion",6,12,1,0,0,0,0,0,0,1,"NYG","1",2,"OL",2013,1,19,77,311,"1990-08-15",5.12,7.45,NA,103,76,307,4.63,28.5,1,25,36.8751897453196
"Rueben Randle","New York Giants","nyg",2015,16,3,0,"hamstring",6,9,0,0,0,0,0,0,1,0,"NYG","1",1,"WR",2012,2,63,74,208,"1991-05-07",4.55,6.99,15,121,75,210,4.36,31,1,24,26.7027027027027
"Weston Richburg","New York Giants","nyg",2015,16,2,1,"ankle",11,12,0,0,0,0,0,0,0,1,"NYG","1",1,"OL",2014,2,43,76,290,"1991-07-09",5.1,7.93,25,106,75,298,4.63,25.5,1,24,35.2960526315789
"Dominique Rodgers-Cromartie","New York Giants","nyg",2015,16,2,1,"concussion",3,4,1,0,0,0,0,0,0,0,"NYG","1",1,"DEF",2008,1,16,74,205,"1986-04-07",4.29,6.74,17,131,73,184,4.17,38.5,1,29,26.3175675675676
"Geoff Schwartz","New York Giants","nyg",2015,16,10,5,"illness ankle leg",3,16,0,0,0,0,0,0,1,1,"NYG","1",2,"OL",2008,7,241,78,332,"1986-07-11",5.36,7.9,0,98,78,332,4.79,20.5,1,29,38.362261669954
"George Selvie","New York Giants","nyg",2015,16,4,2,"calf concussion",5,15,1,0,0,0,0,0,1,0,"NYG","1",2,"DEF",2010,7,226,76,247,"1987-03-06",4.93,7.48,24,109,76,252,4.63,30.5,0,28,30.0625
"Cooper Taylor","New York Giants","nyg",2015,16,2,2,"concussion",15,16,1,0,0,0,0,0,0,0,"NYG","1",1,"DEF",2013,5,152,76,229,"1990-04-04",NA,NA,NA,NA,NA,NA,NA,NA,0,25,27.8717105263158
"J.T. Thomas","New York Giants","nyg",2015,16,6,4,"ankle",8,16,0,0,0,0,0,0,0,1,"NYG","1",1,"DEF",2011,6,195,73,241,"1988-08-15",4.65,7.23,23,114,73,241,4.28,30.5,1,27,31.7926440232689
"Trevin Wade","New York Giants","nyg",2015,16,1,0,"concussion",7,7,1,0,0,0,0,0,0,0,"NYG","1",1,"DEF",2012,7,245,70,192,"1989-08-01",4.52,6.87,18,116,70,192,4,34.5,1,26,27.5461224489796
"Nikita Whitlock","New York Giants","nyg",2015,16,3,2,"notinjuryrelated knee",12,16,0,0,0,0,0,0,1,0,"NYG","1",1,"RB",NA,NA,NA,70,251,"1991-05-16",NA,NA,NA,NA,NA,NA,NA,NA,0,24,36.0108163265306
"Dion Bailey","New York Jets","nyj",2015,16,9,6,"elbow hip ankle",5,14,0,0,0,1,1,0,0,1,"NYJ","1",3,"DEF",NA,NA,NA,72,201,"1992-03-02",4.66,6.97,0,113,72,201,4.15,34,1,23,27.2575231481481
"T.J. Barnes","New York Jets","nyj",2015,16,1,0,"ankle",4,4,0,0,0,0,0,0,0,1,"NYJ","1",1,"DEF",NA,NA,NA,78,355,"1990-06-14",5.3,8.26,25,97,78,369,4.96,22,0,25,41.0198882314267
"Tommy Bohanon","New York Jets","nyj",2015,16,1,0,"shoulder",9,9,0,1,0,0,0,0,0,0,"NYJ","1",1,"RB",2013,7,215,73,246,"1990-09-10",4.88,7.27,36,119,73,246,4.42,35,0,25,32.4522424469882
"Stephen Bowen","New York Jets","nyj",2015,16,4,0,"knee",1,4,0,0,0,0,0,0,1,0,"NYJ","1",1,"DEF",NA,NA,NA,77,300,"1984-03-28",NA,NA,NA,NA,NA,NA,NA,NA,0,31,35.5709225839096
"James Carpenter","New York Jets","nyj",2015,16,4,0,"back",1,4,0,0,1,0,0,0,0,0,"NYJ","1",1,"OL",2011,1,25,77,321,"1989-03-22",5.22,NA,23,NA,76,321,NA,NA,1,26,38.0608871647833
"Mike Catapano","New York Jets","nyj",2015,16,4,4,"foot",13,16,0,0,0,0,0,0,0,1,"NYJ","1",1,"DEF",2013,7,207,76,270,"1990-08-17",NA,NA,NA,NA,NA,NA,NA,NA,0,25,32.8618421052632
"Willie Colon","New York Jets","nyj",2015,16,16,10,"knee",1,16,0,0,0,0,0,0,1,0,"NYJ","1",1,"OL",2006,4,131,75,315,"1983-04-09",NA,NA,NA,NA,NA,NA,NA,NA,1,32,39.368
"Quinton Coples","New York Jets","nyj",2015,16,3,0,"elbow",4,6,0,0,0,0,1,0,0,0,"NYJ","1",1,"DEF",2012,1,16,78,284,"1990-06-22",4.69,7.57,25,109,78,284,4.78,31.5,0,25,32.8159105851414
"Antonio Cromartie","New York Jets","nyj",2015,16,9,1,"hip knee groin  quadricep",1,13,0,0,0,1,0,0,3,0,"NYJ","1",4,"DEF",2006,1,19,74,210,"1984-04-15",4.47,0,18,132,74,208,0,38,1,31,26.9594594594595
"Jeff Cumberland","New York Jets","nyj",2015,16,2,1,"concussion",4,5,1,0,0,0,0,0,0,0,"NYJ","1",1,"TE",NA,NA,NA,76,249,"1987-05-02",NA,NA,NA,NA,NA,NA,NA,NA,0,28,30.3059210526316
"Demario Davis","New York Jets","nyj",2015,16,2,0,"ribs wrist",11,16,0,0,1,0,0,1,0,0,"NYJ","1",2,"OL",2012,3,77,74,248,"1989-01-11",4.49,7.19,32,124,74,235,4.28,38.5,1,26,31.8378378378378
"Kellen Davis","New York Jets","nyj",2015,16,7,0,"hand notinjuryrelated wrist back foot",8,16,0,0,1,0,0,2,0,1,"NYJ","1",4,"TE",2008,5,158,78,259,"1985-10-11",4.59,7.25,22,118,78,262,4.38,28,1,30,29.9271860618014
"Eric Decker","New York Jets","nyj",2015,16,14,1,"knee",3,16,0,0,0,0,0,0,1,0,"NYJ","1",1,"WR",2010,3,87,75,214,"1987-03-15",4.54,0,15,0,75,217,0,0,1,28,26.7452444444444
"Leger Douzable","New York Jets","nyj",2015,16,1,0,"ankle",14,14,0,0,0,0,0,0,0,1,"NYJ","1",1,"DEF",NA,NA,NA,76,305,"1986-05-31",NA,NA,NA,NA,NA,NA,NA,NA,0,29,37.1217105263158
"Quincy Enunwa","New York Jets","nyj",2015,16,2,0,"neck",15,16,1,0,0,0,0,0,0,0,"NYJ","1",1,"WR",2014,6,209,74,225,"1992-05-31",4.41,NA,19,NA,74,225,NA,NA,0,23,28.8851351351351
"Ryan Fitzpatrick","New York Jets","nyj",2015,16,10,0,"rightelbow leftthumb",6,16,0,0,0,0,1,1,0,0,"NYJ","1",2,"QB",2005,7,250,74,221,"1982-11-24",4.86,7.09,NA,105,74,232,4.07,30.5,1,33,28.3716216216216
"Nick Folk","New York Jets","nyj",2015,16,8,8,"quadricep",9,16,0,0,0,0,0,0,1,0,"NYJ","1",1,"K",2007,6,178,73,222,"1984-11-05",4.95,NA,NA,NA,73,225,NA,NA,0,31,29.2861700131357
"Breno Giacomini","New York Jets","nyj",2015,16,6,0,"biceps thumb hip ankle",2,16,0,0,0,1,1,1,0,1,"NYJ","1",4,"OL",2008,5,150,79,320,"1985-09-27",5.2,7.56,23,108,79,303,4.63,22.5,1,30,36.0455055279603
"David Harris","New York Jets","nyj",2015,16,3,0,"finger quadricep back",4,15,0,0,1,0,0,1,1,0,"NYJ","1",3,"DEF",2007,2,47,74,250,"1984-01-21",4.59,7.25,23,107,74,243,4.29,33,1,31,32.0945945945946
"Damon Harrison","New York Jets","nyj",2015,16,1,0,"finger",6,6,0,0,0,0,0,1,0,0,"NYJ","1",1,"DEF",NA,NA,NA,75,350,"1988-11-29",NA,NA,NA,NA,NA,NA,NA,NA,1,27,43.7422222222222
"Erin Henderson","New York Jets","nyj",2015,16,2,0,"knee  illness",1,16,0,0,0,0,0,0,1,0,"NYJ","1",1,"DEF",NA,NA,NA,75,242,"1986-07-01",4.73,7.16,23,113,75,244,4.5,31,0,29,30.2446222222222
"Chris Ivory","New York Jets","nyj",2015,16,9,1,"knee groin quadricep  hamstring",1,16,0,0,0,0,0,0,4,0,"NYJ","1",4,"RB",NA,NA,NA,72,223,"1988-03-22",NA,NA,NA,NA,NA,NA,NA,NA,0,27,30.2409336419753
"Jaiquawn Jarrett","New York Jets","nyj",2015,16,6,2,"shoulder knee",1,6,0,1,0,0,0,0,1,0,"NYJ","1",2,"DEF",2011,2,54,72,196,"1989-09-21",4.62,6.95,14,113,72,198,4.14,30,0,26,26.579475308642
"Jeremy Kerley","New York Jets","nyj",2015,16,4,0,"concussion  illness calf",1,14,1,0,0,0,0,0,1,0,"NYJ","1",2,"WR",2011,5,153,69,188,"1988-11-08",4.56,0,16,120,69,189,0,34.5,0,27,27.7597143457257
"Jamari Lattimore","New York Jets","nyj",2015,16,1,0,"concussion",5,5,1,0,0,0,0,0,0,0,"NYJ","1",1,"DEF",NA,NA,NA,74,232,"1988-10-06",NA,NA,NA,NA,NA,NA,NA,NA,0,27,29.7837837837838
"Nick Mangold","New York Jets","nyj",2015,16,9,1,"neck hand",7,15,1,0,0,0,0,1,0,0,"NYJ","1",2,"OL",2006,1,29,76,307,"1984-01-13",5.05,7.47,24,104,76,300,4.36,27.5,1,31,37.3651315789474
"Brandon Marshall","New York Jets","nyj",2015,16,10,0,"calf ankle toe ribs",6,16,0,0,1,0,0,0,1,2,"NYJ","1",4,"WR",2006,4,119,77,232,"1984-03-23",4.52,0,0,120,76,229,0,37,1,31,27.5081801315568
"Ronald Martin","New York Jets","nyj",2015,16,1,0,"groin",14,14,0,0,0,0,0,0,1,0,"NYJ","1",1,"DEF",NA,NA,NA,73,220,"1993-02-26",NA,NA,NA,NA,NA,NA,NA,NA,0,22,29.022330643648
"Lorenzo Mauldin","New York Jets","nyj",2015,16,4,1,"knee concussion  back",1,16,1,0,1,0,0,0,1,0,"NYJ","1",3,"OL",2015,3,82,76,259,"1992-10-01",4.85,7.47,23,112,76,259,4.58,32,0,23,31.5230263157895
"Dexter McDougle","New York Jets","nyj",2015,16,5,0,"hand ankle",7,15,0,0,0,0,0,1,0,1,"NYJ","1",2,"DEF",2014,3,80,70,190,"1991-04-08",4.47,0,0,0,70,196,0,0,0,24,27.2591836734694
"Rontez Miles","New York Jets","nyj",2015,16,1,0,"achilles",14,14,0,0,0,0,0,0,0,1,"NYJ","1",1,"DEF",NA,NA,NA,72,203,"1988-11-25",4.62,6.97,NA,123,72,203,4.27,36.5,0,27,27.5287422839506
"Dee Milliner","New York Jets","nyj",2015,16,12,11,"wrist  illness ankle hamstring",1,16,0,0,0,0,0,1,1,1,"NYJ","1",3,"DEF",2013,1,9,72,201,"1991-09-14",4.37,6.95,0,122,72,201,4.32,36,0,24,27.2575231481481
"Chris Owusu","New York Jets","nyj",2015,16,4,3,"knee",3,6,0,0,0,0,0,0,1,0,"NYJ","1",1,"WR",NA,NA,NA,72,195,"1990-01-06",4.36,6.85,19,129,72,196,4.11,40.5,0,25,26.4438657407407
"Calvin Pace","New York Jets","nyj",2015,16,6,0,"toe abdomen",11,16,0,0,1,0,0,0,0,1,"NYJ","1",2,"DEF",2003,1,18,76,265,"1980-10-28",4.79,0,0,115,76,269,0,33,1,35,32.2532894736842
"Bilal Powell","New York Jets","nyj",2015,16,7,5,"groin ankle",5,16,0,0,0,0,0,0,1,1,"NYJ","1",2,"RB",2011,4,126,70,204,"1988-10-27",4.51,NA,18,NA,70,207,NA,NA,1,27,29.2677551020408
"Calvin Pryor","New York Jets","nyj",2015,16,6,3,"knee ankle neck",5,13,1,0,0,0,0,0,1,1,"NYJ","1",3,"DEF",2014,1,18,71,207,"1992-07-02",4.58,0,18,116,71,207,0,34.5,1,23,28.8674866097996
"Ryan Quigley","New York Jets","nyj",2015,16,2,0,"rightshin rightknee",7,11,0,0,0,0,0,0,2,0,"NYJ","1",2,"P",NA,NA,NA,74,205,"1990-01-26",NA,NA,NA,NA,NA,NA,NA,NA,0,25,26.3175675675676
"Brent Qvale","New York Jets","nyj",2015,16,1,0,"finger",2,2,0,0,0,0,0,1,0,0,"NYJ","1",1,"OL",NA,NA,NA,79,315,"1991-03-11",NA,NA,NA,NA,NA,NA,NA,NA,0,24,35.4822945040859
"Trevor Reilly","New York Jets","nyj",2015,16,3,1,"finger knee",2,12,0,0,0,0,0,1,1,0,"NYJ","1",2,"OL",2014,7,233,77,240,"1988-01-17",4.67,0,26,0,77,245,0,0,0,27,28.4567380671277
"Darrelle Revis","New York Jets","nyj",2015,16,6,2,"groin hamstring hip concussion",3,13,1,0,0,1,0,0,2,0,"NYJ","1",4,"DEF",2007,1,14,71,198,"1985-07-14",4.38,0,16,0,71,204,0,0,1,30,27.6123784963301
"Sheldon Richardson","New York Jets","nyj",2015,16,2,1,"hamstring",10,11,0,0,0,0,0,0,1,0,"NYJ","1",1,"DEF",2013,1,13,75,290,"1990-11-29",5.02,NA,30,116,74,294,NA,32,1,25,36.2435555555556
"Stevan Ridley","New York Jets","nyj",2015,16,9,8,"knee",1,9,0,0,0,0,0,0,1,0,"NYJ","1",1,"RB",2011,3,73,71,220,"1989-01-27",4.65,6.78,18,118,71,225,4.21,36,1,26,30.6804205514779
"Buster Skrine","New York Jets","nyj",2015,16,7,0,"concussion shoulder",6,12,1,1,0,0,0,0,0,0,"NYJ","1",2,"DEF",2011,5,137,69,187,"1989-04-26",4.37,6.44,20,122,69,186,3.9,37,0,26,27.6120562906952
"Devin Smith","New York Jets","nyj",2015,16,10,6,"ribs  ankle foot knee",1,16,0,0,1,0,0,0,1,2,"NYJ","1",4,"WR",2015,2,37,73,199,"1992-03-03",4.42,NA,10,122,72,196,4.15,39,1,23,26.252017264027
"Geno Smith","New York Jets","nyj",2015,16,6,6,"jaw  leftshoulder illness",1,15,1,1,0,0,0,0,0,0,"NYJ","1",2,"QB",2013,2,39,75,221,"1990-10-10",4.58,NA,NA,124,74,218,NA,33.5,0,25,27.6200888888889
"Kenbrell Thompkins","New York Jets","nyj",2015,16,1,0,"quadricep",16,16,0,0,0,0,0,0,1,0,"NYJ","1",1,"WR",NA,NA,NA,72,196,"1988-07-29",4.54,6.88,8,121,73,193,4.21,33.5,1,27,26.579475308642
"Darrin Walls","New York Jets","nyj",2015,16,4,3,"hamstring",2,5,0,0,0,0,0,0,1,0,"NYJ","1",1,"DEF",NA,NA,NA,72,190,"1988-06-20",NA,NA,NA,NA,NA,NA,NA,NA,0,27,25.7658179012346
"Muhammad Wilkerson","New York Jets","nyj",2015,16,3,0,"ribs wrist toe",5,16,0,0,1,0,0,1,0,1,"NYJ","1",3,"DEF",2011,1,30,76,315,"1989-10-22",4.96,7.31,27,106,76,315,4.59,26,1,26,38.3388157894737
"Leonard Williams","New York Jets","nyj",2015,16,3,0,"calf  ankle knee",1,7,0,0,0,0,0,0,2,1,"NYJ","1",3,"DEF",2015,1,6,77,302,"1994-06-20",4.97,7.59,NA,106,77,302,4.53,29.5,1,21,35.8080620678023
"Marcus Williams","New York Jets","nyj",2015,16,7,3,"hamstring knee",5,14,0,0,0,0,0,0,2,0,"NYJ","1",2,"DEF",NA,NA,NA,71,196,"1991-03-24",NA,NA,NA,NA,NA,NA,NA,NA,0,24,27.3334655822257
"Nelson Agholor","Philadelphia Eagles","phi",2015,16,5,3,"ankle hip",6,12,0,0,0,1,0,0,0,1,"PHI","1",2,"WR",2015,1,20,72,198,"1993-05-24",4.42,NA,12,NA,72,198,NA,NA,1,22,26.8506944444444
"Seyi Ajirotutu","Philadelphia Eagles","phi",2015,16,5,3,"concussion elbow calf ankle",2,16,1,0,0,0,1,0,1,1,"PHI","1",4,"WR",NA,NA,NA,75,211,"1987-06-12",4.6,7.22,14,115,75,204,4.39,36,0,28,26.3703111111111
"Kiko Alonso","Philadelphia Eagles","phi",2015,16,8,5,"knee ankle",3,11,0,0,0,0,0,0,1,1,"PHI","1",2,"DEF",2013,2,46,75,239,"1990-08-14",4.74,NA,NA,NA,75,238,NA,NA,0,25,29.8696888888889
"Josh Andrews","Philadelphia Eagles","phi",2015,16,2,2,"concussion",9,10,1,0,0,0,0,0,0,0,"PHI","1",1,"OL",NA,NA,NA,74,298,"1991-06-21",NA,NA,NA,NA,NA,NA,NA,NA,0,24,38.2567567567568
"Brandon Bair","Philadelphia Eagles","phi",2015,16,4,4,"groin",5,8,0,0,0,0,0,0,1,0,"PHI","1",1,"DEF",NA,NA,NA,79,272,"1984-11-24",4.92,7.07,26,114,78,276,4.37,28,0,31,30.6386796987662
"Allen Barbre","Philadelphia Eagles","phi",2015,16,2,0,"groin calf",5,14,0,0,0,0,0,0,2,0,"PHI","1",2,"OL",2007,4,119,76,310,"1984-06-22",4.84,7.4,28,105,76,300,4.63,32,1,31,37.7302631578947
"Kenjon Barner","Philadelphia Eagles","phi",2015,16,1,0,"ankle",13,13,0,0,0,0,0,0,0,1,"PHI","1",1,"RB",2013,6,182,69,195,"1989-04-28",4.52,6.87,20,122,69,196,4.2,35.5,0,26,28.7933207309389
"Connor Barwin","Philadelphia Eagles","phi",2015,16,2,0,"quadricep",10,11,0,0,0,0,0,0,1,0,"PHI","1",1,"DEF",2009,2,46,76,255,"1986-10-15",4.47,6.87,21,128,76,256,4.18,40.5,1,29,31.0361842105263
"Sam Bradford","Philadelphia Eagles","phi",2015,16,6,2,"concussion leftshoulder",10,15,1,1,0,0,0,0,0,0,"PHI","1",2,"QB",2010,1,1,76,224,"1987-11-08",4.79,0,0,0,76,236,0,0,1,28,27.2631578947368
"Bryan Braman","Philadelphia Eagles","phi",2015,16,1,0,"shoulder",8,8,0,1,0,0,0,0,0,0,"PHI","1",1,"DEF",NA,NA,NA,77,230,"1987-05-04",NA,NA,NA,NA,NA,NA,NA,NA,0,28,27.271040647664
"Trey Burton","Philadelphia Eagles","phi",2015,16,3,0,"shoulder hamstring",3,9,0,1,0,0,0,0,1,0,"PHI","1",2,"TE",NA,NA,NA,74,238,"1991-10-29",4.62,7.14,NA,112,74,224,4.32,30,0,24,30.5540540540541
"Nolan Carroll","Philadelphia Eagles","phi",2015,16,5,5,"ankle",12,16,0,0,0,0,0,0,0,1,"PHI","1",1,"DEF",2010,5,145,73,202,"1987-01-16",4.42,0,0,0,71,204,0,0,1,28,26.6477763182586
"Riley Cooper","Philadelphia Eagles","phi",2015,16,3,0,"knee toe",4,9,0,0,0,0,0,0,1,1,"PHI","1",2,"WR",2010,5,159,75,214,"1987-09-09",4.53,0,0,114,75,222,0,33,1,28,26.7452444444444
"Jerome Couplin","Philadelphia Eagles","phi",2015,16,8,8,"shoulder",9,16,0,1,0,0,0,0,0,0,"PHI","1",1,"DEF",NA,NA,NA,74,215,"1991-08-31",NA,NA,NA,NA,NA,NA,NA,NA,0,24,27.6013513513514
"Fletcher Cox","Philadelphia Eagles","phi",2015,16,1,0,"groin",3,3,0,0,0,0,0,0,1,0,"PHI","1",1,"DEF",2012,1,12,76,310,"1990-12-13",4.77,7.07,30,103,76,298,4.53,26,1,24,37.7302631578947
